"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"A letter to Mr. James H. Murphy from John H. McCray sent on September 14, 1958."
"A memo to Mr. John McCray from James Murphy sent on September 19, 1958."
"A document listing the number of papers sold in July, August and September."
"A change sheet for the week ending September 20, 1958."
"An out sheet for South Carolina for the week ending September 20, 1958."
"An out sheet for the week ending September 20, 1958."
"A document of the new agents that joined the week ending September 20, 1958."
"The returns and allowances of the circulation department from the week ending September 20, 1958."
"A document listing the 5 new agents that joined the week ending September 20, 1958."
"A memo to Mr. John H. McCray from James H. Murphy sent on September 23, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on September 25, 1958."
"A document of the 8 new agents that joined the week ending September 27, 1958."
"An out sheet of South Carolina for the week ending September 27, 1958."
"A document of the new agent that joined the week ending September 27, 1958."
"A change sheet for the week ending September 27, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on October 2, 1958."
"An out sheet for South Carolina for the week ending October 11, 1958."
"A change sheet for the week ending October 4, 1958."
"The returns and allowances of the circulation department for the week ending September 27, 1958."
"A change sheet for the week ending October 11, 1958."
"A document listing the charges for the week ending September 27, 1958."
"A document listing the 5 new agents that joined the week ending October 4, 1958."
"A document listing the 3 new agents that joined the week ending October 11, 1958."
"A change sheet with 21 names made for the week ending October 11, 1958."
"A change with 2 names for the week ending October 11, 1958."
"The returns and allowances of the circulation department for the week ending October 4, 1958 with 18 names."
"The returns and allowances of the circulation department for the week ending October 4, 1958 with 7 names."
"A letter to Mr. James H. Murphy from John H. McCray sent on October 9, 1958."
"A memo to Mr. John H. McCray from James H. Murphy sent on October 14, 1958."
"A letter to Mr. John H. McCray from A. Maceo sent on October 22, 1958."
"A memo to Mr. John H. McCray from Mahlon Oswell sent on November 11, 1958."
"A memo to Mr. John H. McCray from James H. Murphy sent on November 28, 1958."
"The returns and allowances for the week ending November 29, 1958."
"A document listing the 3 new agents that joined the week ending December 6, 1958."
"A change sheet with 11 names for the week ending December 6, 1958."
"A memo to Mr. Arthur Evans from James H. Murphy sent on December 5, 1958."
"The returns and allowances of the circulation department for the week ending December 6, 1958."
"A change sheet with 1 name for the week ending December 6, 1958."
"A memo to Mr. John H. McCray from James H. Murphy sent on December 9, 1958."
"A change sheet with 3 names for the week ending December 13, 1958."
"A change sheet with 13 names for the week ending December 13, 1958."
"A document listing the 4 new agents for the week ending December 13, 1958."
"An out sheet with 13 names for the week ending December 13, 1958."
"The Afro-American Agent Application of Mr. Lahoy Myers."
"The Afro-American Newsboy's Application of Miss E. L. M. Brown"
"The Afro-American Newsboy's Application of Mr. Layton Berry."
"The Afro-American Newsboy's Application of Mrs. E. L. Kennedy."
"The Afro-American Newsboy's Application of Mr. Otis Martin, Jr."
"The Afro-American Newsboy's Application of Mrs. A. L. Myers."
"The Afro-American Agent Application of Miss Nettie L. Mitchell."
"The Afro-American Newsboy's Application of Mr. T. A. Jefferson."
"A circulation report of the Afro-American Newspaper Company."
"A list of cities and towns of North Carolina taken from a draw sheet did 1953 that are not on the daily list from 1958."
"A document of the 9 South Carolina School Accounts."
"A list of 20 items, positions, and details."
"A letter to Mr. John H. McCray."
"A document about paying for your copies of the Afro."
"A letter from Arthur Evans."
"A letter to an Afro Salesman from Arthur Evans."
"A letter to a friend from Arthur Evans."
"A letter to a parent from Arthur Evans."
"The net paid circulation document of Mr. McCray."
"The Afro-American Co. Statement of Mr. Glover Hickson."
"The Afro-American Press Correspondant Card of John H. McCray."
"A memo to Mr. C. W. Mackay from James H. Murphy sent on January 14, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on January 16, 1959."
"A document with ten suggested areas of coverage made on January 14, 1959."
"A letter to Mr. J. H. McCray sent on January 21, 1959."
"A letter to Mr. James H. McCray from John H. McCray sent on January 26, 1959."
"A letter to Mr. James H. Murphy from John H. McCray sent on January 26, 1959."
"A letter to Mr. James H. Murphy from John H. McCray sent on January 29, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on January 30, 1959."
"A letter to Mr. John H. McCray from James H. Murphy sent on January 29, 1959."
"A special circulation report for Columbia, South Carolina made on January 31, 1959."
"A letter to Mr. McCray from S. H. Hughes sent on February 1, 1959."
"A letter from Mr. McCray sent on February 23, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on February 3, 1959."
"A letter to Mr. John F. Harris from James H. Murphy sent on February 3, 1959."
"A memo to Messrs. Gillespie and McCray from James H. Murphy sent on February 3, 1959."
"A memo to all members of the editorial department and associate editors from C. W. Mackay sent on February 4, 1959."
"A memo to Mr. Arthur Evans from John H. McCray sent on February 6, 1959."
"A letter to Mr. James H. McCray from John H. McCray sent on February 10, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on February 10, 1959."
"A letter to Mr. James H. Murphy from John H. McCray sent on February 10, 1959."
"A letter to Mr. James H. Murphy from John H. McCray sent on February 12, 1959."
"The two agents that joined the week ending February 14, 1959."
"The one new agent that joined the week ending February 14, 1959."
"An out sheet with five names made on February 14, 1959."
"A change sheet with 2 names for the week ending February 14, 1959."
"A change sheet with 9 names for the week ending February 14, 1959."
"The returns and allowances of the circulation department for the week ending February 7, 1959."
"A South Carolina Out Sheet for the week ending February 7, 1959."
"The one new agent that joined the week ending February 7, 1959."
"A change sheet for the week ending February 7, 1959."
"The returns and allowances of the circulation department for the week ending January 31, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on February 13, 1959."
"A summary of the Columbia Project from January 31 to February 14, 1959."
"A fact sheet the carriers and stands that will sell the February 28th edition."
"An analysis of Mr. Harris made on January 17, 1959."
"A letter to Mr. John McCray from C. W. Mackay sent on February 16, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on February 24, 1959."
"A letter to Mr. James H. Murphy from John H. McCray sent on February 25, 1959."
"A letter to Mr. E. J. Jefferson from John H. McCray sent on February 25, 1959."
"A document listing the 4 new agents for the week ending February 28, 1959."
"The South Carolina Out Sheet for the week ending February 28, 1959."
"A change sheet for the week ending February 28, 1959."
"The returns and allowances of the circulation department for the week ending February 21, 1959."
"A letter to Mr. McCray from G. G. Orville sent on February 27, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on March 4, 1959."
"A letter to Mr. William Johnson from James H. Murphy sent on March 4, 1959."
"The weekly report of Ernest Benley, Jr. to the Afro-American."
"A memo to Mr. John H. McCray from James H. Murphy sent on March 10, 1959."
"A letter to Mr. William Johnson from James H. Murphy sent on March 10, 1959."
"A check to the Afro-American for $64.30 made on March 11, 1959."
"A memo to Mr. John H. McCray from James H. Murphy sent on March 13, 1959."
"The returns and allowances of the circulation department for the week ending February 28, 1959."
"A change sheet for the week ending March 7, 1959."
"The returns and allowances of the circulation department for the week ending March 7, 1959."
"A change sheet for the week ending March 14, 1959."
"The out sheet of South Carolina for the week ending March 14, 1959."
"The new agents that joined for the week ending March 14, 1959."
"An advertisement for carriers wanted in all sections of Charlotte, N. C."
"A memo to Mr. John H. McCray from James H. Murphy sent on March 17, 1959."
"A letter to Mr. William Johnson from James H. Murphy sent on March 17, 1959."
"A notice to all Afro Agents, Carriers and Distributors sent on March 18, 1959."
"A letter to Mr. McCray from James H. Murphy sent on March 25, 1959."
"A check to the Afro-American Newspapers for $66.98 made on March 18, 1959."
"A letter to Mr. John H. McCray from Tressvant M. Anderson sent on March 23, 1959."
"A check to the Afro-American Newspapers for $53.09 made on April 1, 1959."
"A check to the Afro-American for $65.34 made on March 25, 1959."
"A check to the Afro-American Newspapers for $56.48 made on April 8, 1959."
"The 1 new agent that joined for the week ending April 11, 1959."
"The 5 new agents that joined for the week ending April 18, 1959."
"A change sheet for the week ending April 11, 1959."
"An out sheet with three names made on April 11, 1959."
"An out sheet with two names made on April 18, 1959."
"A change sheet with 12 names made on April 11, 1959."
"The returns and allowances of the circulation department for the week ending April 4, 1959."
"A change sheet with 10 names made on April 18, 1959."
"The returns and allowances of the Circulation Department for the week ending April 11, 1959."
"Managers' Meeting submitted by James H. Murphy on April 13, 1959."
"A letter to Mr. McCray from Morton Delman sent on April 16, 1959."
"A check to the Afro-American Newspapers for $56.32 made on April 16, 1959."
"A check to the Afro-American Newspapers for $54.23 made on April 23, 1959."
"A memo to Mr. Arthur Evans from James H. Murphy sent on April 24, 1959."
"A telegram to John H. McCray from James H. Murphy sent on April 27, 1959."
"A check to the Afro-American Newspapers for $53.61 made on April 30, 1959."
"A promissory note and assignment to the Afro-American Company of Baltimore made on September 2, 1960."
"An agreement between the Pittsburgh Courier Publishing Company and John H. McCray of Columbia, South Carolina made on May 6, 1960."
"A rate sheet from the Circulation Department of the Pittsburgh Courier Publishing Company."
"A letter to Mr. Norbet A. Theodore from John H. McCray sent on September 3, 1960."
"A letter to Mr. Benjamin Swinton from Esther M. Moore sent on September 9, 1960."
"A letter to Mr. Bura Walker from Esther M. Moore sent on September 6, 1960."
"A letter to Mr. S. M. Broome from Esther M. Moore sent on September 8, 1960."
"A letter to Mrs. G. T. Cherry from John H. McCray sent on September 14, 1960."
"The 1960 school plan of the Pittburgh Courier made on September 14, 1960."
"The statement of paper account of Mr. J. C. Artemus, Sr."
"A letter to Mr. John McCray from Esther M. Moore sent on September 22, 1960."
"A letter to Mr. McCray from Mrs. Benjamin D. Brown."
"A letter to Mr. McCray from Wesly Billings sent on October 4, 1960."
"An invoice of subscription of Mr. J. C. Artemus Sr. made on October 4, 1960."
"The mailing list of the Marshall D. Shepard Meeting on October 5, 1960."
"A letter to Mr. Willie C. Belton from Esther M. Moore sent on October 5, 1960."
"A letter to Mr. Bura Walker from Esther M. Moore sent on October 5, 1960."
"A letter to Mr. Willie C. Belton from Esther M. Moore sent on October 10, 1960."
"A telegram to the editor of the Lighthouse and Informer from John F. Kennedy sent on October 6, 1960."
"A letter to the Circulation Department from John H. McCray sent on October 7, 1960."
"A letter to Mr. John H. McCray, Sr. from Arthur I. Morris sent on October 10, 1960."
"An inter office communication to John H. McCray from Lorenzo A. Hill sent on October 11, 1960."
"A letter to Mr. Bura Walker from Esther M. Moore sent on October 12, 1960."
"A letter to Mrs. Hazel R. Bunby from Esther M. Moore sent on October 16, 1960."
"A letter to Miss Esther Moore from John H. McCray sent on October 20, 1960."
"A letter to Mr. John McCray from Esther M. Moore sent on October 20, 1960."
"The account ledger of Mr. Willie C. Belton."
"A telegram to John H. McCray from Mrs. Marjorie Mckenzie Lawson sent on October 20, 1960."
"A letter to Mr. Fillis C. Belton from Esther M. Moore sent on October 24, 1960."
"A letter to Mrs. Henry Isaac, Miss Helen Thomas and B. B. Craig from Arthur I. Morris sent on October 24, 1960."
"A telegram to John H. McCray from Arthur I. Morris sent on October 24, 1960."
"A letter to Mrs. H. B. Jones from Esther M. Moore sent on October 26, 1960."
"A letter to Mrs. E. H. Murray from Esther M. Moore sent on October 26, 1960."
"An inter office communication to John McCray, Sr. from Franklin H. Whittaker sent on October 27, 1960."
"The account ledger of Lafayette H. McDonald."
"A letter to Miss Esther M. Moore from Bura Walker sent on October 28, 1960."
"A letter to Mr. Benjamin Swinton from Esther M. Moore sent on October 28, 1960."
"The statement of paper account of Mr. John H. McCray."
"A letter to Reverand J. C. McTeer from Esther M. Moore sent on October 31, 1960."
"A letter to Mr. Jesse Reese, Sr. from Esther M. Moore sent on November 3, 1960."
"The account ledger of Mr. Jesse Reese, Sr."
"A letter to Mr. John McCray from Esther M. Moore sent on November 8, 1960."
"A memorandum to John H. McCray from William G. Nunn, Sr. sent on November 22, 1960."
"A letter to Mr. John McCray from Esther M. Moore sent on November 22, 1960."
"A letter to the editor from Eleanor Greene sent on November 22, 1960."
